track_name,artists,track_id,track_genre
Hot Dog Man,Elephants Memory,69nSOjIPU8IJ6HOmlTvagB,rock
Leroy Faster,Black Lips,2Phv50pX00tVMEd2qTraN1,rock
"Phantom Heart Brother, Pt. 2",Klaus Schulze,3oTVSlTQQsVy1ddyj9hnpj,rock
ดอกไม้จะบาน (Raise),FREEHAND,7hMPea9UKGe5RN1WErIGf9,rock
Outer Space,John Clark,2tjZ7Is1LH2uhxqEAQ0OiJ,rock
I Am My Own Man,brvnks,3t6G7ZB4Ne5lmGmRBXadCV,rock
Bicycle Race - Live,Queen,1V4jpYx1jDCsleJUIJTdi7,rock
Gel - Live At Park West / 1997,Collective Soul,7BRz2TDqoRxUuyHUyIw92y,rock
"Frozen Hands, Frozen Feet",This Patch of Sky,3rFewu6J7xbYXg7Oe1M2Tb,rock
Wuss,King Missile,4BJrbvOI7KdsTlKNSYivGA,rock
"Sugar Magnolia - Live at Tivoli Concert Hall, Copenhagen, Denmark 4/14/1972",Grateful Dead,5w98RjmQODEwSPIh2fSCY0,rock
If your heart stopped now - Demo version,The Carpettes,3zbbETnZnqNfcbsGj7jSaR,rock
Waiting for Midnight,Somehow Jo,5F6BBH9AzhXKCVKMSyRr2X,rock
Lusitana,Fausto,1YMW2oNdyoYmj7CmslemRC,rock
We Can Work It Out - Live,Paul McCartney,7hU8prG6c4kB42rDPgWpaJ,rock
Ikkekannekik deuts - live,Katastroof,1aLnOCIwDppQrCZD2vLwzg,rock
Hey Joe,Mike Onesko,3Q93CK3cMC3TtMjWdOsutu,rock
Pas Firi Firi,Nikolas Asimos,63fbBxn3n0T1ECtFPCecEv,rock
American Mcmofo,Michael Katon,3exypgHsEVFAsIXXaR0d0h,rock
Колыбельная взрослым - bonus,КОПЕНGАGЕН,5G9wnrATZ2fTiD1SQxqYaR,rock
Hourglass,Balthazar,6StqMIYLLMrfGcry7wZi3b,rock
Better Left Forgotten,Ignescent,4WvcnoJibN84qGIQAK46jn,rock
Versos a Quem Merece,Subversivos,0wrXHWLFlZIeURvXVFpgeN,rock
R.I.P.,tRKproject,7kcRxxAg5Xp0dbspuVbel4,rock
Psycho Killer,Mark Seymour,7IvoaJzyKGILhZqK8hWIwm,rock
Since You Came Into My Life,Dennis Brown,2q0NnHfq8u7mjl4eZGtP8x,rock
Le Saboteur,Turbonegro,6JZoHruRV76F1qnV01PXm2,rock
